Exercise,Category,Tier,Primary Muscles,Secondary / Synergists,Equipment,Movement Pattern,Modality,Fatigue Band,Base LMF,Base SF,Base JS,Base GF,Base SD,Base RC,Base SFR,Weekly Frequency,Typical Recovery,Progressions,Regressions / Substitutions,Avoid / Modify When,Source,Coach Notes
Barbell Bench Press,Push,Anchor,Pectoralis major,Triceps; anterior deltoid; lats,Barbell; bench; rack,Horizontal push,Strength,High,8,6,5,1,3,7,4,1–2 hard exposures/week,48–72 h,Paused bench; tempo bench; overload singles,DB bench; push-up,High shoulder/elbow irritation; hard pressing <48 h,Hybrid Training System; athlete non-negotiable,Primary upper-body strength KPI.
Barbell Overhead Press,Push,Anchor,Anterior/medial deltoids; triceps,Upper chest; core; upper back,Barbell; rack,Vertical push,Strength,High,7,6,6,1,4,7,4,1–2 exposures/week,48–72 h,Push press; pin press; tempo OHP,DB press; landmine press,High shoulder stress; heavy snatch day,Hybrid Training System; athlete non-negotiable,
Incline Dumbbell Press,Push,Hypertrophy,Upper chest,Triceps; anterior delts,Dumbbells; incline bench,Incline horizontal push,Hypertrophy,Moderate,7,3,3,1,2,4,5,1–2/week,36–48 h,Higher load; low incline; pauses,Machine incline press; feet-elevated push-up,Severe anterior shoulder irritation,Swole booklet; standard S&C practice,
Close-Grip Bench Press,Push,Primary accessory,Triceps,Chest; anterior delts,Barbell; bench,Horizontal push,Strength/Hypertrophy,Moderate-High,7,5,5,1,3,6,4,1/week,48–72 h,Paused; bands/chains; heavier triples,Neutral-grip DB press,Elbow irritation; heavy bench overlap,Hybrid Training System,
Weighted Ring Dip,Push,Primary accessory,Chest; triceps,Anterior delts; serratus; core,Rings; dip belt,Vertical/horizontal push,Strength/Skill,Moderate-High,7,5,7,2,5,7,3,1/week,48–72 h,Tempo; pause; added load,Ring support; assisted dip,Shoulder instability; deep-range pain,Athlete booklet; gymnastics practice,
Half-Kneeling Landmine Press,Push,Hypertrophy,Anterior deltoid; upper chest,Serratus; triceps; obliques,Landmine; barbell,Angled vertical push,Hypertrophy/Athletic,Moderate,5,2,2,1,2,3,5,1–2/week,24–48 h,Standing press; heavier load,Tall-kneeling press,Acute shoulder pain,Hybrid Training System,
Z Press,Push,Primary accessory,Deltoids; triceps,Core; upper back; hip flexors,Barbell or dumbbells,Vertical push,Strength/Control,Moderate-High,6,5,4,1,5,6,3,1/week,48 h,Paused; heavier sets,Seated DB press,Low-back or hamstring mobility limits,Hybrid Training System,
One-Arm Seated Dumbbell Shoulder Press,Push,Hypertrophy,Deltoids,Triceps; obliques; scapular stabilizers,Dumbbell; bench,Unilateral vertical push,Hypertrophy/Stability,Moderate,6,3,3,1,3,4,5,1–2/week,36–48 h,Standing; bottoms-up KB press,Two-arm machine press,Shoulder pain or trunk compensation,Crossfit Session by Category.xlsx,
Ring Push-Up,Push,Hypertrophy,Chest,Triceps; anterior delts; serratus; core,Rings,Horizontal push,Hypertrophy/Stability,Moderate,6,2,3,2,3,3,5,1–3/week,24–48 h,Feet elevated; weighted; deficit,Floor push-up,Shoulder instability under deep ROM,Hybrid Training System,
JM Press,Push,Primary accessory,Triceps,Chest; anterior delts,Barbell; bench,Elbow-dominant press,Strength/Hypertrophy,Moderate,6,3,5,1,3,4,4,1/week,48 h,Heavier low reps; paused,Rolling DB extension,Elbow irritation,EliteFTS practitioner movement; Hybrid Training System,
Cable Fly (Low-to-High),Push,Hypertrophy,Pectoralis major,Anterior delts,Cable station,Horizontal adduction,Hypertrophy,Low,5,1,2,0,1,2,5,1–3/week,24–36 h,Longer ROM; higher reps,Pec deck; band fly,Anterior shoulder pain in stretch,Hybrid Training System,
Cable Lateral Raise,Push,Hypertrophy,Medial deltoid,Upper traps; supraspinatus,Cable,Shoulder abduction,Hypertrophy,Low,5,1,2,0,1,2,5,2–4/week,24 h,Behind-body setup; partials after full ROM,DB lateral raise,Painful arc,Swole booklet; Hybrid Training System,
Behind-the-Neck Snatch-Grip Push Jerk,Push,Skill/Athletic,Deltoids; triceps,Traps; legs; core,Barbell; rack,Explosive vertical push,Olympic skill,High,5,6,7,2,8,7,2,0–1/week,48–72 h,Heavier jerk; combine with OHS,PVC press/jerk; snatch push press,Shoulder mobility deficit; neck/shoulder pain,Crossfit Session by Category.xlsx,
Handstand Push-Up,Push,Skill/Athletic,Deltoids; triceps,Upper chest; traps; core,Wall or parallettes,Vertical push,Gymnastics,High,7,5,7,2,8,7,3,1–2 skill exposures/week,48–72 h,Deficit; strict; freestanding,Pike push-up; partial ROM HSPU,Shoulder/wrist irritation; high pressing fatigue,Athlete booklet; Crossfit Session by Category.xlsx,
Sled Chest Press,Push,Athletic,Chest; triceps,Delts; core; legs,Sled; straps/handles,Horizontal push,Work capacity,Moderate,5,3,3,1,2,4,4,1/week,36–48 h,Heavier load; longer distance,Band-resisted press,No sled; acute shoulder pain,Strongman/practitioner variation,
Pull-Up,Pull,Anchor,Lats,Biceps; upper back; grip; core,Pull-up bar,Vertical pull,Strength,Moderate-High,7,4,4,5,4,6,4,1–2 hard exposures/week,48–72 h,Weighted; chest-to-bar; L-sit,Band-assisted; pulldown,Elbow pain; grip fatigue >7; high-volume WOD pulling,Hybrid Training System; athlete non-negotiable,
Weighted Pull-Up,Pull,Primary accessory,Lats,Biceps; grip; core,Pull-up bar; belt,Vertical pull,Strength,High,8,6,5,7,4,7,3,1/week,48–72 h,Heavier triples; pauses,Strict bodyweight pull-up,High grip/elbow fatigue,Hybrid Training System,
Barbell Row,Pull,Primary accessory,Lats; mid-back,Erectors; biceps; grip,Barbell,Horizontal pull,Strength/Hypertrophy,High,7,6,5,6,3,7,3,1/week,48–72 h,Pendlay; paused; underhand,Chest-supported row,Posterior-chain fatigue; deadlift proximity,Hybrid Training System,
Chest-Supported Dumbbell Row,Pull,Hypertrophy,Mid-back; lats,Rear delts; biceps,Dumbbells; incline bench,Horizontal pull,Hypertrophy,Moderate,6,2,2,3,1,3,5,1–2/week,24–48 h,Heavier DBs; elbows-out variation,Machine row,Chest/bench discomfort,Hybrid Training System,
Seal Row,Pull,Primary accessory,Upper back; lats,Rear delts; biceps,Barbell/DB; seal bench,Horizontal pull,Strength/Hypertrophy,Moderate,6,3,2,3,2,4,5,1/week,36–48 h,Paused; wide grip,Chest-supported DB row,Equipment unavailable,Hybrid Training System,
Meadows Row,Pull,Hypertrophy,Lats; upper back,Biceps; grip; obliques,Landmine; handle,Unilateral horizontal pull,Hypertrophy,Moderate,6,3,3,5,2,4,4,1/week,36–48 h,Heavier load; stretch emphasis,One-arm DB row,Grip or low-back fatigue,Practitioner movement; Hybrid Training System,
Ring Row,Pull,Hypertrophy,Mid-back,Biceps; rear delts; core,Rings,Horizontal pull,Hypertrophy/Stability,Low-Moderate,5,1,2,2,2,2,5,1–3/week,24–36 h,Feet elevated; weighted,More upright ring row,Elbow irritation,Hybrid Training System,
Neutral-Grip Lat Pulldown,Pull,Hypertrophy,Lats,Biceps; lower traps,Cable station,Vertical pull,Hypertrophy,Moderate,6,2,2,2,1,3,5,1–2/week,24–48 h,Heavier; unilateral,Band pulldown,Elbow pain,Hybrid Training System,
Rope Straight-Arm Pulldown,Pull,Hypertrophy,Lats,Long-head triceps; serratus,Cable; rope,Shoulder extension,Hypertrophy,Low,5,1,1,1,1,2,5,1–2/week,24 h,Longer stretch; single-arm,Band pullover,Shoulder pain,Hybrid Training System,
Face Pull,Pull,Prehab,Rear delts; external rotators,Mid/lower traps,Cable or band,Scapular pull/external rotation,Resilience,Low,4,1,1,1,1,1,5,2–4/week,24 h,Overhead face pull; pause,Band pull-apart,Acute shoulder pain,Swole booklet; Hybrid Training System,
Hammer Curl,Pull,Hypertrophy,Brachialis; biceps,Brachioradialis; grip,Dumbbells,Elbow flexion,Hypertrophy,Low,5,1,2,2,1,2,5,1–3/week,24–36 h,Cross-body; rope hammer curl,Band curl,Elbow tendon irritation,Hybrid Training System,
Towel Pull-Up,Pull,Skill/Athletic,Lats; grip,Biceps; forearms; core,Towel; pull-up bar,Vertical pull + grip,Strength/Grip,High,7,4,5,9,4,7,2,0–1/week,48–72 h,Weighted; longer towel,Towel hang; neutral pull-up,Grip/elbow fatigue; deadlift proximity,Hybrid Training System,
One-Arm Upright Row,Pull,Hypertrophy,Upper traps; medial deltoid,Biceps; forearms,Dumbbell or cable,Vertical pull,Hypertrophy,Moderate,5,2,4,2,2,3,4,1/week,36–48 h,Cable; wider path,Lateral raise,Shoulder impingement symptoms,Crossfit Session by Category.xlsx,
Single-Arm Trap-3 Raise,Pull,Prehab,Lower trap,Rear delt; rotator cuff,Dumbbell; incline bench,Scapular upward rotation,Resilience,Low,3,1,1,1,1,1,5,2–3/week,24 h,Longer lever; pause,Prone Y raise,Painful shoulder elevation,Crossfit Session by Category.xlsx,
Rope Climb,Pull,Skill/Athletic,Lats; grip,Biceps; core; hip flexors,Rope,Vertical pull + locomotion,Gymnastics/Work capacity,High,7,6,6,10,7,8,2,0–1/week,72 h,Legless; weighted vest,Foot-lock drills; rope pull from floor,High grip/elbow fatigue,Athlete booklet; CrossFit practice,
Back Squat,Legs,Anchor,Quads; glutes,Adductors; core; erectors,Barbell; rack,Knee-dominant squat,Strength,High,9,9,7,2,5,9,3,1–2 hard exposures/week,48–72 h,Paused; tempo; heavy singles,Box squat; goblet squat,High systemic/knee/hip fatigue; hard run proximity,Hybrid Training System; athlete non-negotiable,
Deadlift,Legs,Anchor,Glutes; hamstrings,Erectors; traps; grip; lats; core,Barbell,Hip hinge,Strength,Very High,9,10,8,8,4,10,2,1 hard exposure/week,72–96 h,Deficit; block pull; paused,Trap-bar deadlift; RDL,Posterior-chain/grip fatigue; long run/football proximity,Hybrid Training System; athlete non-negotiable,
Front Squat,Legs,Primary accessory,Quads,Glutes; core; upper back,Barbell; rack,Knee-dominant squat,Strength,High,8,8,6,2,5,8,3,1/week,48–72 h,Paused; tempo; heavy doubles,Goblet squat,Wrist/front-rack pain; high quad fatigue,Crossfit Session by Category.xlsx,
Romanian Deadlift,Legs,Primary accessory,Hamstrings; glutes,Erectors; grip,Barbell or dumbbells,Hip hinge,Strength/Hypertrophy,High,8,7,5,5,3,7,4,1/week,48–72 h,Deficit; paused; snatch grip,DB RDL; cable pull-through,Posterior-chain fatigue; hard running next day,Hybrid Training System,
Bulgarian Split Squat,Legs,Hypertrophy,Quads; glutes,Adductors; core,Dumbbells or barbell; bench,Unilateral knee-dominant,Hypertrophy/Strength,Moderate-High,8,5,5,3,3,6,4,1/week,48–72 h,Front-foot elevated; deficit,Static split squat,Severe DOMS before running/football,Hybrid Training System,
Front-Foot Elevated Split Squat,Legs,Hypertrophy,Quads; glutes,Adductors; calves; core,Dumbbells; plate/step,Unilateral knee-dominant,Hypertrophy/Mobility,Moderate,7,3,4,2,3,4,5,1–2/week,36–48 h,Greater elevation; front rack,Bodyweight split squat,Knee pain at deep flexion,Crossfit Session by Category.xlsx,
Walking Lunge,Legs,Hypertrophy,Glutes; quads,Hamstrings; calves; core,Dumbbells or barbell,Unilateral locomotion,Hypertrophy/Work capacity,Moderate,7,4,4,4,2,5,4,1/week,48 h,Front rack; overhead; longer distance,Reverse lunge,High running volume; knee irritation,Hybrid Training System,
Box Squat,Legs,Primary accessory,Glutes; quads,Hamstrings; erectors; core,Barbell; box; rack,Squat variant,Strength,High,7,7,6,2,4,7,3,0–1/week,48–72 h,Bands/chains; lower box,Goblet box squat,High spinal fatigue,Swole booklet,
Trap-Bar Deadlift,Legs,Primary accessory,Quads; glutes,Hamstrings; traps; grip,Trap bar,Hybrid squat/hinge,Strength,High,8,7,6,6,3,8,3,0–1/week,48–72 h,Low handles; jumps,KB deadlift,Grip/posterior-chain fatigue,Hybrid Training System,
Nordic Hamstring Curl,Legs,Hypertrophy,Hamstrings,Calves; glutes,Nordic bench or partner,Knee flexion,Strength/Resilience,Moderate-High,8,4,4,1,3,6,4,1/week,48–72 h,Slower eccentric; full concentric,Assisted Nordic,Hamstring soreness before speed work,Hybrid Training System,
Barbell Hip Thrust,Legs,Hypertrophy,Glutes,Hamstrings; adductors; core,Barbell; bench,Hip extension,Hypertrophy/Strength,Moderate,7,3,3,1,2,4,5,1–2/week,36–48 h,Pause; single-leg,Glute bridge,Hip/back discomfort,Crossfit Session by Category.xlsx,
Single-Leg Good Morning,Legs,Accessory,Hamstrings; glutes,Erectors; foot/ankle stabilizers,Barbell or bodyweight,Unilateral hip hinge,Control/Hypertrophy,Moderate,6,3,4,1,5,5,4,1/week,36–48 h,Loaded; longer ROM,Single-leg RDL reach,High posterior-chain fatigue; balance limitation,Crossfit Session by Category.xlsx,
Sled Push / Backward Drag,Legs,Athletic,Quads; glutes,Calves; core,Sled,Locomotion,Work capacity/Resilience,Moderate,6,3,2,1,2,4,5,1–2/week,24–48 h,Heavier load; intervals,Hill walk; treadmill push,Acute knee/Achilles pain,Hybrid Training System,
Standing Calf Raise,Legs,Hypertrophy,Gastrocnemius,Soleus; foot intrinsics,Machine; dumbbells,Ankle plantarflexion,Hypertrophy,Low,5,1,2,0,1,2,5,2–4/week,24–36 h,Paused stretch; single-leg,Bodyweight calf raise,Achilles irritation,Hybrid Training System,
Cossack Squat,Legs,Accessory,Adductors; quads; glutes,Core; ankle/hip stabilizers,Bodyweight; kettlebell,Frontal-plane squat,Mobility/Strength,Moderate,5,2,3,1,4,3,4,1–2/week,24–48 h,Loaded goblet; deeper ROM,Lateral lunge,Hip/groin pain,Hybrid Training System,
Pallof Press,Accessories,Prehab,Obliques; transverse abdominis,Glutes; shoulders,Cable or band,Anti-rotation,Core/Resilience,Low,4,1,1,1,1,1,5,2–4/week,24 h,Half-kneeling; overhead,Lighter band hold,Acute back pain with bracing,Hybrid Training System,
Hanging Leg Raise,Accessories,Core,Rectus abdominis; hip flexors,Grip; lats,Pull-up bar,Trunk/hip flexion,Core,Moderate,6,3,3,6,3,5,4,1–3/week,36–48 h,Toes-to-bar; strict tempo,Captain's chair knee raise,Grip/shoulder fatigue; high TTB volume,Hybrid Training System,
Ab Wheel Rollout,Accessories,Core,Anterior core,Lats; serratus; glutes,Ab wheel or barbell,Anti-extension,Core,Moderate,6,3,3,1,4,5,4,1–2/week,36–48 h,Standing rollout; longer ROM,Stability-ball rollout,Low-back pain; inability to brace,Hybrid Training System,
Farmer Carry,Accessories,Athletic,Grip; traps,Core; glutes; calves,Dumbbells; kettlebells; trap bar,Loaded carry,Strength/Work capacity,Moderate-High,6,4,4,9,3,6,3,1–2/week,48 h,Heavier; longer distance,Suitcase carry; lighter carry,Grip fatigue; deadlift/Olympic pull proximity,Hybrid Training System,
Suitcase Carry,Accessories,Core,Obliques; QL,Grip; glutes; traps,Dumbbell or kettlebell,Anti-lateral flexion carry,Core/Resilience,Moderate,5,2,3,7,2,4,4,1–2/week,36–48 h,Overhead suitcase carry,Static suitcase hold,Grip or back pain,Hybrid Training System,
Turkish Get-Up,Accessories,Skill/Athletic,Shoulder stabilizers; core,Glutes; hips; triceps,Kettlebell,Ground-to-stand multi-planar,Skill/Resilience,Moderate,5,3,4,4,7,5,4,1/week,36–48 h,Heavier KB; bottoms-up,Shoe get-up; half get-up,Shoulder pain; high skill fatigue,Hybrid Training System,
Copenhagen Plank,Accessories,Prehab,Adductors; obliques,Glutes; shoulders,Bench,Anti-lateral flexion/adductor,Resilience,Moderate,6,2,3,1,4,4,4,1–2/week,36–48 h,Long lever; dynamic reps,Short-lever Copenhagen,Groin pain,Hybrid Training System,
Cable External Rotation,Accessories,Prehab,Infraspinatus; teres minor,Rear deltoid; lower trap,Cable or band,External rotation,Resilience,Low,3,1,1,0,2,1,5,2–4/week,24 h,90/90 position; eccentric,Band external rotation,Acute shoulder pain,Hybrid Training System,
Serratus Wall Slide,Accessories,Prehab,Serratus anterior,Lower traps; rotator cuff,Wall; foam roller; band,Scapular upward rotation,Resilience,Low,3,1,1,0,2,1,5,2–4/week,24 h,Band around wrists; lift-off,Wall reach,Acute shoulder pain,Hybrid Training System,
Wrist Roller,Accessories,Grip,Forearm flexors/extensors,Grip,Wrist roller,Wrist flexion/extension,Grip/Hypertrophy,Low,5,1,2,8,2,3,4,1–3/week,24–48 h,Heavier; longer lever,Plate pinch hold,Wrist tendinitis; high grip fatigue,Hybrid Training System,
Landmine Rotational Punch,Accessories,Athletic,Obliques; hips,Shoulders; serratus; glutes,Landmine,Rotation/power,Power/Athletic,Moderate,5,3,3,2,5,4,4,1–2/week,36–48 h,Faster intent; split stance,Cable punch,Shoulder/back pain,Hybrid Training System,
L-Sit on Parallettes,Accessories,Skill/Core,Hip flexors; rectus abdominis,Triceps; lats; quads,Parallettes,Isometric trunk/hip flexion,Gymnastics/Core,Moderate,6,3,4,4,7,5,4,1–3/week,36–48 h,Longer holds; V-sit progression,Tuck L-sit,Wrist/shoulder irritation,Crossfit Session by Category.xlsx,
Half-Kneeling Plate Halo,Accessories,Prehab,Shoulder stabilizers; core,Triceps; upper back,Weight plate or kettlebell,Shoulder circumduction/anti-extension,Mobility/Resilience,Low,3,1,2,2,3,2,5,1–3/week,24 h,Heavier; tall-kneeling,Light plate halo,Shoulder pain,Crossfit Session by Category.xlsx,
Dead Bug with Band Pulldown,Accessories,Core,Anterior core,Lats; hip flexors,Band or cable,Anti-extension,Core/Resilience,Low,4,1,1,1,2,2,5,2–4/week,24 h,Long lever; heavier pulldown,Basic dead bug,Acute low-back pain,Hybrid Training System,
Neck Flexion / Extension,Accessories,Prehab,Cervical flexors/extensors,Upper traps,Harness; plate; manual resistance,Neck strengthening,Resilience,Low,3,1,2,0,2,2,4,1–3/week,24–48 h,Higher load; isometrics,Manual isometrics,"Neck symptoms, headache, radiating pain",Hybrid Training System,
Spoto Press,Push,Primary accessory,Pectoralis major; triceps,Anterior deltoid; upper back,Barbell; bench; rack,Horizontal push,Strength,Moderate-High,7,5,5,1,4,6,4,1/week,48–72 h,Heavier triples; longer pause,Paused bench; DB bench,Shoulder/elbow irritation; heavy bench overlap,Stronger by Science / practitioner use,Builds control off chest with constant tension.
Larsen Press,Push,Primary accessory,Pectoralis major; triceps,Anterior deltoid; upper back,Barbell; bench,Horizontal push,Strength/Hypertrophy,Moderate,7,4,4,1,3,5,5,1/week,48 h,Heavier sets; pauses,Feet-up DB press; standard bench,Low-back instability; poor bench setup,Powerlifting practitioner use,Reduces leg drive and increases upper-body demand.
Barbell Floor Press,Push,Primary accessory,Triceps; chest,Anterior deltoid,Barbell; rack,Horizontal push,Strength,Moderate-High,6,5,4,1,3,5,4,1/week,48 h,Paused; chains; close grip,DB floor press,Elbow discomfort; need full-ROM pec emphasis,Powerlifting practitioner use,Useful for lockout strength and reduced shoulder extension.
