Exercise,Category,Tier,Primary Muscles,Secondary / Synergists,Equipment,Movement Pattern,Modality,Fatigue Band,Base LMF,Base SF,Base JS,Base GF,Base SD,Base RC,Base SFR,Weekly Frequency,Typical Recovery,Progressions,Regressions / Substitutions,Avoid / Modify When,Source,Coach Notes
Pin Press,Push,Primary accessory,Triceps; chest,Anterior deltoid; upper back,Barbell; rack,Horizontal push from dead stop,Strength,High,7,6,5,1,4,7,3,0–1/week,48–72 h,Vary pin height; heavier singles,Board press; floor press,Shoulder/elbow irritation; poor setup,Powerlifting practitioner use,Dead-stop strength through selected range.
Swiss-Bar Bench Press,Push,Primary accessory,Chest; triceps,Anterior deltoid,Swiss bar; bench; rack,Horizontal push,Strength/Hypertrophy,Moderate,7,4,3,1,3,5,5,1/week,48 h,Paused; close handle,Neutral-grip DB press,No specialty bar; wrist discomfort,EliteFTS / practitioner use,Neutral grip can reduce shoulder stress.
Viking Press,Push,Athletic,Deltoids; triceps,Upper chest; core; legs,Viking press or landmine setup,Angled vertical push,Strength/Power,Moderate-High,6,5,4,1,4,6,4,1/week,48 h,Push press style; unilateral,Landmine press,Shoulder pain; low-back compensation,Strongman practice,Athletic overhead option with scalable leg drive.
Bradford Press,Push,Hypertrophy,Deltoids,Triceps; upper traps,Barbell,Alternating overhead press,Hypertrophy/Mobility,Moderate,6,3,5,1,4,4,3,0–1/week,48 h,Longer sets; light tempo,Behind-neck press with PVC; DB press,Shoulder mobility deficit; pain,Olympic lifting practitioner movement,Use light loads and controlled ROM.
Bottoms-Up Kettlebell Press,Push,Prehab/Athletic,Deltoids; triceps,Grip; rotator cuff; core,Kettlebell,Unilateral vertical push,Stability/Strength,Moderate,4,2,3,6,5,3,4,1–2/week,24–48 h,Half-kneeling; walking press,Standard KB press,Wrist pain; poor grip control,S&C practitioner use,High stability demand with low external load.
Deficit Push-Up,Push,Hypertrophy,Chest,Triceps; anterior deltoid; serratus,Parallettes or plates,Horizontal push,Hypertrophy,Moderate,6,2,4,1,3,3,5,1–2/week,24–48 h,Weighted; rings; feet elevated,Standard push-up,Anterior shoulder pain in deep ROM,Calisthenics practice,Adds range of motion without heavy systemic cost.
Ring Archer Push-Up,Push,Skill/Athletic,Chest; triceps,Core; serratus; shoulder stabilizers,Rings,Unilateral-biased horizontal push,Gymnastics/Hypertrophy,Moderate-High,6,3,5,2,6,5,3,0–1/week,48 h,Greater offset; assisted one-arm,Ring push-up,Shoulder instability; elbow pain,Gymnastics practice,Advanced unilateral pressing progression.
Single-Arm Cable Chest Press,Push,Hypertrophy,Chest,Triceps; anterior deltoid; obliques,Cable station,Unilateral horizontal push,Hypertrophy/Stability,Low-Moderate,5,2,2,0,2,3,5,1–2/week,24–36 h,Split stance; heavier load,Machine press,Shoulder pain; trunk rotation compensation,Standard S&C practice,Good anti-rotation demand and independent-side loading.
Dumbbell Crush Press,Push,Hypertrophy,Chest; triceps,Anterior deltoid,Dumbbells; bench,Horizontal push/adduction,Hypertrophy,Moderate,6,2,3,1,2,3,5,1–2/week,24–48 h,Incline; tempo,DB bench,Wrist discomfort; shoulder pain,Bodybuilding practice,Constant inward pressure increases pec tension.
Incline Hex Press,Push,Hypertrophy,Upper chest; triceps,Anterior deltoid,Dumbbells; incline bench,Incline horizontal push/adduction,Hypertrophy,Moderate,6,2,3,1,2,3,5,1/week,36–48 h,Higher incline; pauses,Incline DB press,Shoulder pain,Bodybuilding practice,Upper-chest emphasis with stable dumbbell path.
Dead-Stop Dumbbell Bench Press,Push,Hypertrophy,Chest; triceps,Anterior deltoid,Dumbbells; bench,Horizontal push from dead stop,Strength/Hypertrophy,Moderate,6,3,3,1,3,4,5,1/week,36–48 h,Heavier load; floor variation,Standard DB bench,Shoulder discomfort at bottom,S&C practitioner use,Reduces rebound and improves starting strength.
Cuban Press,Push,Prehab,Rotator cuff; rear/medial delts,Upper traps; biceps,Light dumbbells or barbell,External rotation + press,Resilience/Control,Low,3,1,2,1,4,2,4,1–2/week,24 h,Slower tempo; cable version,Cuban rotation only,Shoulder pain; excessive load,Swole booklet / practitioner use,Keep load light; movement quality first.
Kroc Row,Pull,Primary accessory,Lats; upper back,Biceps; grip; erectors,Heavy dumbbell; bench,Unilateral horizontal pull,Strength/Hypertrophy,High,8,6,4,8,3,7,3,0–1/week,48–72 h,Higher reps; straps,One-arm DB row,Low-back or grip fatigue,EliteFTS practitioner movement,"High-load, high-rep row with substantial fatigue."
Yates Row,Pull,Primary accessory,Lats; mid-back,Biceps; erectors; grip,Barbell,Underhand horizontal pull,Strength/Hypertrophy,High,7,5,4,5,3,6,4,1/week,48 h,Paused; tempo,Cable row,Biceps tendon or low-back irritation,Bodybuilding practitioner use,More upright torso and supinated grip.
Gorilla Row,Pull,Hypertrophy,Lats; upper back,Core; grip; glutes,Two kettlebells,Alternating horizontal pull,Athletic/Hypertrophy,Moderate,6,3,3,5,4,4,4,1/week,36–48 h,Heavier KBs; dead-stop,One-arm KB row,Low-back fatigue; grip fatigue,Kettlebell practice,Combines rowing with anti-rotation and hinge stability.
Batwing Row,Pull,Hypertrophy,Mid-back; rear delts,Lats; biceps,Dumbbells; incline bench,Isometric horizontal pull,Hypertrophy/Control,Low-Moderate,5,2,2,2,2,3,5,1–2/week,24–36 h,Longer holds; heavier DBs,Chest-supported row,Chest discomfort,Dan John practitioner movement,Excellent scapular retraction and upper-back control.
Kelso Shrug,Pull,Hypertrophy,Mid/lower traps; rhomboids,Rear delts,Incline bench; barbell or dumbbells,Scapular retraction,Hypertrophy/Resilience,Low,4,1,1,2,2,2,5,1–3/week,24 h,Long pauses; heavier load,Prone scapular retraction,Shoulder discomfort,Bodybuilding/S&C practice,Trains scapular motion with minimal elbow flexion.
High Cable Row,Pull,Hypertrophy,Upper back; rear delts,Biceps; lats,Cable station,High horizontal pull,Hypertrophy,Moderate,6,2,2,2,2,3,5,1–2/week,24–48 h,Rope; wide grip; pauses,Machine row,Shoulder pain,Standard S&C practice,Useful for rear delts and upper-back thickness.
Cross-Body Lat Pulldown,Pull,Hypertrophy,Lats,Biceps; obliques,Cable station,Unilateral vertical pull,Hypertrophy,Low-Moderate,5,2,2,2,2,3,5,1–2/week,24–36 h,Kneeling; longer stretch,Single-arm pulldown,Elbow or shoulder pain,Bodybuilding practitioner use,Allows individualized lat line of pull.
Inverted Barbell Row,Pull,Hypertrophy,Mid-back; lats,Biceps; core,Barbell; rack,Horizontal pull,Strength/Hypertrophy,Moderate,6,2,2,2,3,3,5,1–3/week,24–48 h,Feet elevated; weighted,Ring row,Shoulder/elbow irritation,Calisthenics practice,Simple scalable bodyweight horizontal pull.
Snatch-Grip High Pull,Pull,Skill/Athletic,Traps; upper back,Posterior chain; grip; delts,Barbell,Explosive vertical pull,Olympic power,High,6,7,6,6,7,8,3,0–1/week,48–72 h,From hang; blocks; heavier,Snatch pull,Shoulder/wrist pain; high posterior-chain fatigue,Olympic lifting practice,Power-focused pull with high technical demand.
Bayesian Cable Curl,Pull,Hypertrophy,Biceps,Brachialis; forearms,Cable station,Elbow flexion in shoulder extension,Hypertrophy,Low,5,1,2,1,1,2,5,1–3/week,24–36 h,Single arm; slow eccentric,Incline DB curl,Elbow tendon irritation,Bodybuilding practice,High biceps tension in lengthened position.
Drag Curl,Pull,Hypertrophy,Biceps,Forearms; brachialis,Barbell or EZ bar,Elbow flexion,Hypertrophy,Low,5,1,2,2,2,2,5,1–2/week,24–36 h,Paused; cable version,Standard curl,Wrist/elbow pain,Bodybuilding practice,Keeps bar close and reduces shoulder flexion.
Zottman Curl,Pull,Hypertrophy,Biceps; brachialis,Forearms,Dumbbells,Elbow flexion + pronated eccentric,Hypertrophy/Grip,Low-Moderate,5,1,2,4,2,3,4,1–2/week,24–36 h,Slower eccentric; alternating,Hammer curl,Elbow or wrist irritation,Classic strength practice,Adds forearm eccentric work.
Cheat Curl,Pull,Primary accessory,Biceps,Forearms; upper back; hips,Barbell,Elbow flexion with body English,Strength/Hypertrophy,Moderate-High,6,4,3,4,3,5,3,0–1/week,48 h,Controlled eccentric; heavier load,Strict barbell curl,Low-back or elbow pain,Old-school bodybuilding practice,Use only with controlled eccentric and experienced lifters.
Rope Hammer Curl,Pull,Hypertrophy,Brachialis; biceps,Brachioradialis; grip,Cable; rope,Neutral-grip elbow flexion,Hypertrophy,Low,5,1,1,2,1,2,5,1–3/week,24 h,Behind-body setup; drop set,DB hammer curl,Elbow irritation,Swole booklet / bodybuilding practice,Stable resistance and easy fatigue control.
Reverse-Grip EZ-Bar Curl,Pull,Hypertrophy,Brachioradialis; forearms,Biceps,EZ bar,Pronated elbow flexion,Hypertrophy/Grip,Low-Moderate,4,1,2,4,2,3,4,1–2/week,24–36 h,Spider setup; cable version,Reverse cable curl,Wrist/elbow pain,Swole booklet,Forearm-dominant arm accessory.
Prone Incline Dumbbell Shrug,Pull,Hypertrophy,Mid/lower traps,Rhomboids; rear delts,Dumbbells; incline bench,Scapular elevation/retraction,Hypertrophy/Resilience,Low,4,1,1,2,1,2,5,1–3/week,24 h,Pause; Y-angle,Kelso shrug,Neck discomfort,S&C practitioner use,Supported trap work with low spinal fatigue.
Zercher Squat,Legs,Primary accessory,Quads; glutes,Core; upper back; biceps,Barbell; rack,Knee-dominant squat,Strength,High,8,8,6,2,5,8,3,0–1/week,48–72 h,Paused; from floor,Front squat; goblet squat,Elbow discomfort; high systemic fatigue,Strongman / powerlifting practice,High trunk demand and upright torso.
Hatfield Squat,Legs,Primary accessory,Quads; glutes,Core; adductors,Safety squat bar; rack,Knee-dominant squat,Strength,High,8,7,5,1,4,7,4,1/week,48–72 h,Heavier load; pause,Safety-bar squat,No SSB; knee/hip pain,Powerlifting practitioner use,Hand support allows high loading with reduced balance demand.
Cyclist Squat,Legs,Hypertrophy,Quads,Glutes; calves,Heels-elevated setup; dumbbell or barbell,Knee-dominant squat,Hypertrophy,Moderate,7,3,4,1,2,4,5,1–2/week,36–48 h,Narrower stance; slower eccentric,Goblet squat,Knee pain in deep flexion,Bodybuilding practice,Strong quad bias with low systemic cost.
Spanish Squat,Legs,Prehab/Hypertrophy,Quads,Glutes; core,Thick band or strap,Knee-dominant squat,Resilience/Hypertrophy,Low-Moderate,5,2,2,0,2,3,5,1–3/week,24–36 h,Isometric holds; loaded,Wall sit,Acute knee pain not tolerating position,Rehab/S&C practice,Useful quad loading with upright shin and torso.
Belt Squat,Legs,Hypertrophy,Quads; glutes,Adductors,Belt squat machine or dip belt setup,Knee-dominant squat,Hypertrophy/Strength,Moderate,7,3,2,1,2,4,5,1–2/week,36–48 h,Heavier sets; pauses,Leg press; goblet squat,Hip belt discomfort,S&C/bodybuilding practice,High leg stimulus with minimal spinal loading.
Jefferson Deadlift,Legs,Primary accessory,Glutes; hamstrings; adductors,Core; grip; quads,Barbell,Rotational stance hinge,Strength/Athletic,High,7,6,6,5,6,7,3,0–1/week,48–72 h,Heavier triples; stance variations,Trap-bar deadlift,Hip/back pain; poor asymmetry control,Old-time strength practice,Use cautiously as an asymmetrical hinge.
Dimel Deadlift,Legs,Hypertrophy,Hamstrings; glutes,Erectors; grip,Barbell,Fast partial hip hinge,Strength/Hypertrophy,Moderate,6,4,4,4,3,5,4,1/week,48 h,Faster reps; heavier load,RDL; cable pull-through,Posterior-chain fatigue; back pain,Westside Barbell practice,High-rep hinge emphasizing speed and posterior chain.
B-Stance Romanian Deadlift,Legs,Hypertrophy,Hamstrings; glutes,Core; grip,Dumbbells or barbell,Unilateral-biased hip hinge,Hypertrophy/Stability,Moderate,7,3,3,3,3,4,5,1/week,36–48 h,Front-foot elevated; heavier load,Single-leg RDL,Balance limits; hamstring pain,S&C practice,Adds unilateral bias without full single-leg instability.
Reverse Nordic Curl,Legs,Hypertrophy,Quadriceps,Hip flexors; core,Bodyweight; pad,Knee extension eccentric,Hypertrophy/Mobility,Moderate,6,2,4,0,3,4,4,1–2/week,36–48 h,Weighted; deeper ROM,Partial ROM reverse Nordic,Knee pain; poor trunk control,Gymnastics/S&C practice,Lengthened quad loading with low equipment demand.
Sissy Squat,Legs,Hypertrophy,Quadriceps,Core; calves,Bodyweight or machine,Knee-dominant isolation,Hypertrophy,Moderate,6,2,5,0,3,4,4,0–1/week,36–48 h,Weighted; machine,Spanish squat,Knee irritation; poor tolerance to deep knee flexion,Bodybuilding practice,Advanced quad isolation; use controlled ROM.
Poliquin Step-Up,Legs,Prehab/Hypertrophy,Quads; VMO,Calves; glutes,Slant board or step,Unilateral knee-dominant,Resilience/Hypertrophy,Low-Moderate,5,2,3,1,2,3,5,1–3/week,24–36 h,Higher step; added load,Peterson step-up,Knee pain,Poliquin practitioner method,Controlled knee-over-toe loading.
Peterson Step-Up,Legs,Prehab,Quads; VMO,Calves; glutes,Low step,Unilateral knee-dominant,Resilience,Low,4,1,2,0,2,2,5,1–3/week,24 h,Added load; higher step,Assisted step-down,Acute knee pain,Rehab/S&C practice,Small-range quad and knee-control drill.
Single-Leg Hip Thrust,Legs,Hypertrophy,Glutes,Hamstrings; core,Bench; bodyweight or dumbbell,Unilateral hip extension,Hypertrophy/Stability,Moderate,6,2,2,1,3,3,5,1–2/week,24–48 h,Loaded; pause,Glute bridge,Hamstring cramping; back discomfort,Standard S&C practice,Unilateral glute work with low axial fatigue.
Lateral Sled Drag,Legs,Athletic,Glute medius; quads,Adductors; calves,Sled; strap,Frontal-plane locomotion,Work capacity/Athletic,Moderate,5,3,2,1,3,4,5,1–2/week,24–48 h,Heavier load; longer distance,Band lateral walk,Knee/hip pain,Strongman/S&C practice,Low-eccentric frontal-plane conditioning.
Tibialis Raise,Legs,Prehab,Tibialis anterior,Foot/ankle stabilizers,Wall or tibialis machine,Ankle dorsiflexion,Resilience/Hypertrophy,Low,4,1,1,0,1,1,5,2–4/week,24 h,Weighted; single-leg,Wall-supported raise,Anterior ankle pain,Running/S&C practice,Supports ankle capacity and lower-leg balance.
Dead Bug,Accessories,Prehab,Deep core; hip flexors,Lats; pelvic stabilizers,Bodyweight,Anti-extension,Core/Resilience,Low,3,1,1,0,3,2,5,2–4/week,24 h,Band pulldown; loaded,Heel taps,Back pain or loss of pelvic control,Standard S&C practice,Foundational trunk control drill.
Bird Dog,Accessories,Prehab,Core; glutes,Shoulder stabilizers; erectors,Bodyweight,Anti-rotation/extension,Core/Resilience,Low,3,1,1,0,3,2,5,2–4/week,24 h,Band resistance; row variation,Quadruped arm or leg only,Back pain or poor control,McGill / S&C practice,Low-fatigue contralateral stability.
Stir-the-Pot,Accessories,Core,Anterior core,Shoulders; lats; glutes,Swiss ball,Anti-extension,Core,Moderate,5,2,3,0,4,3,5,1–2/week,24–36 h,Larger circles; longer sets,Forearm plank,Shoulder or low-back pain,S&C practice,Dynamic anti-extension with shoulder stability.
Hollow Body Hold,Accessories,Core,Anterior core,Hip flexors; serratus,Bodyweight,Anti-extension,Gymnastics/Core,Moderate,5,2,2,0,4,3,4,1–3/week,24–36 h,Rocks; arms overhead,Tuck hollow hold,Low-back pain or loss of contact,Gymnastics practice,Fundamental gymnastics trunk position.
Side Plank Reach-Through,Accessories,Core,Obliques,Shoulder stabilizers; glutes,Bodyweight,Anti-lateral flexion + rotation,Core,Low-Moderate,4,1,2,0,3,2,5,1–3/week,24 h,Loaded; feet elevated,Side plank,Shoulder pain,S&C practice,Combines lateral trunk stability with controlled rotation.
Kettlebell Windmill,Accessories,Athletic,Obliques; glutes,Shoulder stabilizers; hamstrings,Kettlebell,Hip hinge + rotation/stability,Mobility/Stability,Moderate,4,2,3,2,5,3,4,1–2/week,24–48 h,Bottoms-up; heavier load,Bodyweight windmill,Shoulder or hamstring mobility limits,Kettlebell practice,"Requires mobility, control and overhead stability."
Turkish Sit-Up,Accessories,Core,Anterior core; obliques,Shoulder stabilizers; hip flexors,Kettlebell or dumbbell,Ground-to-seated core,Core/Skill,Moderate,4,2,3,1,4,3,4,1–2/week,24–36 h,Heavier load; partial get-up,Unloaded sit-up reach,Shoulder or low-back pain,Kettlebell practice,First phase of Turkish get-up with trunk and shoulder control.
Jefferson Curl,Accessories,Mobility,Spinal flexors; hamstrings,Calves; deep trunk musculature,Light barbell or kettlebell,Segmental spinal flexion,Mobility/Control,Low-Moderate,4,2,4,2,4,3,3,0–1/week,48 h,Greater ROM; light progressive loading,Unloaded segmental roll-down,Back pain; disc symptoms,Gymnastics/weightlifting practice,Evidence is limited; use conservatively and progressively.
Scapular Pull-Up,Accessories,Prehab,Lower traps; lats,Serratus; grip,Pull-up bar,Scapular depression/elevation,Resilience/Gymnastics,Low,3,1,1,2,3,2,5,2–4/week,24 h,Longer holds; weighted,Band scapular pulldown,Shoulder pain; grip fatigue,Gymnastics practice,Builds scapular control for pull-ups and hanging work.
Powell Raise,Accessories,Prehab,Rear deltoid,Rotator cuff; mid traps,Dumbbell; bench,Horizontal shoulder abduction,Resilience/Hypertrophy,Low,4,1,2,1,2,2,5,1–3/week,24 h,Longer lever; pause,Side-lying rear delt raise,Shoulder pain,Charles Poliquin practitioner movement,Targets rear delts with low systemic fatigue.
Cuban Rotation,Accessories,Prehab,External rotators,Rear delts; traps,Light dumbbells or cable,Shoulder external rotation,Resilience,Low,3,1,2,1,3,2,5,2–4/week,24 h,Cable; slower tempo,Band external rotation,Shoulder pain,S&C practice,Use light loads and strict control.
Wrist Pronation / Supination,Accessories,Prehab,Forearm pronators/supinators,Grip musculature,Hammer or light dumbbell,Forearm rotation,Resilience/Grip,Low,3,1,2,3,2,2,5,2–4/week,24 h,Longer lever; slower eccentric,Band-assisted rotation,Wrist/elbow pain,Rehab/S&C practice,Useful for wrist and elbow resilience.
Finger Extension Band Opens,Accessories,Prehab,Finger extensors,Forearm extensors,Finger band,Finger extension,Resilience/Grip,Low,2,0,1,2,1,1,5,3–6/week,12–24 h,More resistance; longer sets,Rubber band opens,Hand pain,Climbing/grip practice,Balances high volumes of gripping.
Hip Airplane,Accessories,Prehab/Athletic,Glute medius; deep hip rotators,Core; hamstrings; foot stabilizers,Bodyweight; support optional,Single-leg hinge + hip rotation,Stability/Mobility,Moderate,4,2,2,1,6,3,4,1–3/week,24–36 h,Unsupported; loaded,Supported hip airplane,Hip pain; poor balance,S&C practice,High-value single-leg hip-control drill.
Band-Resisted Side Plank Rotation,Accessories,Core,Obliques,Shoulder stabilizers; glutes,Band,Anti-lateral flexion + rotation,Core/Athletic,Moderate,5,2,2,0,4,3,5,1–2/week,24–36 h,More band tension; longer lever,Side plank reach-through,Shoulder or low-back pain,Athlete program booklet,Combines trunk stiffness with resisted rotation.
